din,brand_name,atc_description,prior_shortage_count,manufacturer_count,days_since_last_shortage,risk_score
2230420.0,IMITREX NASAL SPRAY,ANTIMIGRAINE PREPARATIONS,11,2.0,1000.0,0.8075086148757444
716618.0,BETADERM CRM 0.05%,"CORTICOSTEROIDS, PLAIN",11,14.0,1003.0,0.807239815244172
2355345.0,APO-IMATINIB,OTHER ANTINEOPLASTIC AGENTS,11,13.0,794.0,0.8068983057517594
2412179.0,PMS-SILDENAFIL R,OTHER ANTIHYPERTENSIVES,11,33.0,1012.0,0.8062023871556857
2181746.0,SODIUM ACETATE-OMEGA,I.V. SOLUTION ADDITIVES,13,52.0,1369.0,0.8061763287577924
2245522.0,"TARO-CLOBETASOL TOPICAL SOLUTION USP, 0.05%","CORTICOSTEROIDS, PLAIN",11,17.0,802.0,0.8058009634877249
2245676.0,ESTRADOT 25,ESTROGENS,10,13.0,836.0,0.8057132608142782
2413248.0,APO-DOXYLAMINE/B6,ANTIHISTAMINES FOR SYSTEMIC USE,11,188.0,822.0,0.8052272020837509
2133326.0,MIOCHOL E,ANTIGLAUCOMA PREPARATIONS AND MIOTICS,12,3.0,1001.0,0.8050519778257487
2292378.0,APO-PRAMIPEXOLE,DOPAMINERGIC AGENTS,11,16.0,808.0,0.8049206094587292
821780.0,CALCIJECT INJ 100MG/ML,I.V. SOLUTION ADDITIVES,13,81.0,1204.0,0.8045782289803333
2246820.0,SANDOZ METFORMIN FC,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",12,53.0,1208.0,0.8037999352454711
1910280.0,TEVA-CLOBETASOL,"CORTICOSTEROIDS, PLAIN",12,17.0,1213.0,0.8025799691334885
751170.0,APO-METOPROLOL (TYPE L) TAB 100MG,BETA BLOCKING AGENTS,10,28.0,1109.0,0.8025400279325617
2310511.0,RAN-RAMIPRIL,"ACE INHIBITORS, PLAIN",9,31.0,1001.0,0.8017104521024269
2242920.0,MYLAN-HYDROXYUREA,OTHER ANTINEOPLASTIC AGENTS,12,6.0,834.0,0.8012053741249066
716731.0,TARO-DOCUSATE,DRUGS FOR CONSTIPATION,11,73.0,1066.0,0.7988637109026738
2314932.0,LEVOFLOXACIN IN 5% DEXTROSE INJECTION,QUINOLONE ANTIBACTERIALS,13,6.0,1417.0,0.7985316611006731
2187078.0,HAVRIX - SUS IM 1440 ELISA UNITS/ML,VIRAL VACCINES,12,2.0,1241.0,0.7982506821042683
2292920.0,APO-PANTOPRAZOLE,DRUGS FOR PEPTIC ULCER AND GASTROESOPHAGEAL REFLUX DISEASE (GERD),12,40.0,1367.0,0.794670865215185
2181908.0,POLYDERM OINTMENT USP,ANTIBIOTICS FOR TOPICAL USE,11,38.0,1094.0,0.7941915804883979
2393557.0,SANDOZ TELMISARTAN HCT,"ANGIOTENSIN II ANTAGONISTS, COMBINATIONS",10,26.0,934.0,0.7938392816348495
2360616.0,APO-OLANZAPINE ODT,ANTIPSYCHOTICS,9,32.0,794.0,0.7938115050678333
2143305.0,VINCRISTINE SULFATE INJECTION,PLANT ALKALOIDS AND OTHER NATURAL PRODUCTS,14,6.0,1129.0,0.7936679258626809
2247947.0,TEVA-RAMIPRIL,"ACE INHIBITORS, PLAIN",11,31.0,1023.0,0.7936316928055585
2184435.0,KADIAN,OPIOIDS,13,22.0,1130.0,0.7912795256429483
2289288.0,APO-PERINDOPRIL,"ACE INHIBITORS, PLAIN",9,20.0,815.0,0.7907566237217488
2443414.0,SANDOZ OLMESARTAN,"ANGIOTENSIN II ANTAGONISTS, PLAIN",10,18.0,886.0,0.7902158685826632
2424444.0,SANDOZ DUTASTERIDE CAPSULE,DRUGS USED IN BENIGN PROSTATIC HYPERTROPHY,10,16.0,941.0,0.7901585255040008
2326965.0,SANDOZ CANDESARTAN,"ANGIOTENSIN II ANTAGONISTS, PLAIN",10,30.0,893.0,0.7893168068453059
2374420.0,APO-ANASTROZOLE,HORMONE ANTAGONISTS AND RELATED AGENTS,10,27.0,954.0,0.7883236404072964
2314304.0,TEVA-NARATRIPTAN,ANTIMIGRAINE PREPARATIONS,10,4.0,953.0,0.7881458710187431
2471124.0,APO-ARIPIPRAZOLE,ANTIPSYCHOTICS,11,17.0,766.0,0.7875674208642248
812374.0,CLOTRIMADERM VAG CREAM 2%,"ANTIINFECTIVES/ANTISEPT.,EXCL COMB WITH CORTICOST.",11,11.0,1136.0,0.7874024553589649
2313375.0,SANDOZ LOSARTAN HCT,"ANGIOTENSIN II ANTAGONISTS, COMBINATIONS",10,63.0,986.0,0.7864228156354959
2354616.0,TEVA-ROSUVASTATIN,"LIPID MODIFYING AGENTS, PLAIN",11,30.0,925.0,0.7854602111936835
2324954.0,SANDOZ ATORVASTATIN,"LIPID MODIFYING AGENTS, PLAIN",11,32.0,1124.0,0.7846618463182147
2325942.0,APO-LEVOFLOXACIN,QUINOLONE ANTIBACTERIALS,11,15.0,954.0,0.7829078860350223
2282143.0,APO-RISPERIDONE,ANTIPSYCHOTICS,12,29.0,1410.0,0.7808956467366581
2408287.0,TEVA-DUTASTERIDE,DRUGS USED IN BENIGN PROSTATIC HYPERTROPHY,10,16.0,1002.0,0.7806848911694975
2279983.0,TARO-MUPIROCIN,ANTIBIOTICS FOR TOPICAL USE,10,2.0,1002.0,0.7804777786043325
2330547.0,PIPERACILLIN SODIUM/TAZOBACTAM SODIUM POWDER FOR INJECTION,"BETA-LACTAM ANTIBACTERIALS, PENICILLINS",9,16.0,830.0,0.7798127371206761
2253186.0,NUVARING,CONTRACEPTIVES FOR TOPICAL USE,12,36.0,784.0,0.7797170291467397
2420732.0,SANDOZ CANDESARTAN PLUS,"ANGIOTENSIN II ANTAGONISTS, COMBINATIONS",10,30.0,795.0,0.7794522333850487
2439409.0,"ROPIVACAINE HYDROCHLORIDE INJECTION, USP","Anesthecis, local",11,6.0,1188.0,0.779195135198319
